,Unnamed: 0,smiles,cluster_id,score
0,0,CCCCCCCCCCCCCCCCSC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,5,20.0
3,3,CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H]1OC(n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCC,5,14.5
4,4,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCC=CCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,5,18.0
5,5,CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC1CCC(n2cnc3c(N)ncnc32)O1)OC(=O)CCCCCCCCCCCCC,5,11.5
10,10,CC(C)C[C@@H](N)C(=O)NCCCOCCOCCOCCCCCC(=O)NCCCOCCCCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCC(=O)NCCOCCOCCOCCOCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,5,14.5
13,13,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,5,11.5
24,24,c1ccc(CNCCCCNCCSSCCNCCCCCNCCCCNCCSSCCNCc2ccccc2OCc2ccccc2)cc1,5,18.5
25,25,CC(C)(C)NC(=O)c1ccccc1NC(=O)C(C)(C)CCCCCCCN1CC2CN(C(=O)CCOCCOCCOCCOCCOCCOCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2C1,5,13.0
30,30,CCCCCCCCCCCCCCCCSCC(COP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(F)C1O)OC(=O)CCCCCCCCCCCCCCC,5,12.0
31,31,C(=CCNCCCNCCCNCCCNCc1ccccc1)CNCCCNCCCNCCCNCCCNCCCNCCCNCc1ccccc1,5,17.5
37,37,CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCCCCCCCCCCCCCNC(=O)c1cc(O)ccc1O)C(=O)N[C@H](C(=O)NCCCCOc1cc(C(F)(F)F)c(F)c2c1OCC2)[C@@H](C)O,5,16.5
39,39,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(N)=O)[C@@H](C)CC)[C@@H](C)O,5,12.5
43,43,COC(=O)N(Cc1cc(OC)c(OC)c(OC)c1)C(Cc1cc(OC)c(OC)c(OC)c1)C(=O)NC(Cc1cn(C=O)c2ccccc12)C(=O)NCCCCCCCCCCCOP(=O)(OC)OC,5,12.0
57,57,CCCCCCCCCCCCCC(=O)OC(COP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(F)C1O)CSCCCCCCCCCCCC,5,14.5
59,59,CCCCCCCCCCCCCCCCOCC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,5,12.5
69,69,CCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCC)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](F)[C@@H]1O,5,11.0
80,80,CCCCCCCCCCCCCCCCOCCOP(=O)(OCCNC(=N)NCC[N+](C)(C)CC(O)c1ccc(O)c(O)c1)OCC1OC(n2cnc3c(NCCCCCCCCCC)nc(N)nc32)C(O)C1O,5,12.5
83,83,CCCCCCCCCCCCCOc1ccc(CCP(=O)(OCc2ccc(OC(=O)CCCCCCCCCCC)cc2)OP(=O)(O)OC[C@@H]2C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O2)cc1,5,13.5
84,84,CCCCCCCCCCCCCCCCC[P+](CCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)CC(=O)NC(COC1OC(CO)C(O)C(O)C1O)CSC1OC(OC)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,5,12.5
85,85,CCCCCCCCCCCCCCCCCCNC(=O)OCC(CP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCCCCC,5,11.5
86,86,CCCCCCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](F)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCCCCCCCC,5,17.5
91,91,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCCCCC,5,14.0
96,96,CCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)NCCCN[C@@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C,5,15.5
107,107,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,5,13.5
113,113,CC(C)C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC[C@H](NCc1ccc(Cl)cc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(N)=O)C(=O)O,7,28.5
114,114,CC(C)C[C@H](NC(=O)[C@H]1CCCN1)C(=O)N[C@@H](Cc1cncn1C[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)N)c1ccccc1)C(C)C)C(=O)N[C@@H](CO)C(N)=O,7,13.5
116,116,Cc1ccc(-n2nc(-n3cnnc3)cc2NC(=O)CCCCCSCCC(NC(=O)[C@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)Cc2ccccn2)C(=O)NCc2ccccn2)cc1,7,15.5
117,117,C/C=C(\NC(=O)CCCCCCCCCCCC(=O)N[C@@H](CNC(=O)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CO)C(N)=O)C(=O)O,7,13.0
119,119,CC(C)C[C@H](NC(=O)[C@H](Cc1cccs1)NC(=O)CC(O)[C@H](Cc1ccccc1)NC(=O)CC(N)=O)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,7,17.0
121,121,CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,7,22.0
123,123,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(C)=O)[C@@H](C)O)C(=O)N[C@H](C(=O)O)C(C)C,7,12.0
130,130,CCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)O)C(C)C)[C@@H](C)O,7,12.0
134,134,CC[C@@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)O,7,11.0
138,138,N=C(N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CCCNC(=O)Cc1ccc(O)cc1,7,16.5
139,139,NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CCCCCCCCCCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,7,14.5
141,141,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(F)F)NC(=O)[C@H](Cc1ccccc1)NC(=O)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,7,11.5
142,142,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)C(C)O,7,19.0
146,146,CC(C)(CNC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc1ccc(CNC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc2ccc(NC(=O)Cc3ccccc3)cc2)cc1)NCC(=O)O,7,11.0
148,148,CSCCC(NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(N)=O,7,11.0
