Ligand SMILES,Target Name,Kd (nM)
Cc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1,Carbonic anhydrase 2,0.46
COc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1,Carbonic anhydrase 2,0.49
NS(=O)(=O)c1ccc(s1)S(=O)(=O)NCc1cccs1,Carbonic anhydrase 2,0.83
NS(=O)(=O)c1cc2C(O)CN(Cc3cccs3)S(=O)(=O)c2s1,Carbonic anhydrase 2,0.2
COc1ccc(cc1)N1CC(O)c2cc(sc2S1(=O)=O)S(N)(=O)=O,Carbonic anhydrase 2,0.16
CCN[C@H]1CN(CCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,0.32
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,0.13
COc1cccc(c1)N1CCc2cc(sc2S1(=O)=O)S(N)(=O)=O,Carbonic anhydrase 2,0.1
CN[C@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,0.1
CN[C@@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,1.7
COc1cccc(c1)N1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O,Carbonic anhydrase 2,0.13
NS(=O)(=O)c1ccc(cc1)C(=O)NCCOCCOCCN(CC([O-])=O)CC([O-])=O,Carbonic anhydrase 2,27.0
NS(=O)(=O)c1ccc(cc1)C(=O)NCCN(CC([O-])=O)CC([O-])=O,Carbonic anhydrase 2,28.0
NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1,Carbonic anhydrase 2,45.0
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)CO,Mitogen-activated protein kinase 14,36.0
Cn1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,Mitogen-activated protein kinase 14,23.0
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccccc1)C(C)(C)C,Mitogen-activated protein kinase 14,21.0
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1cccc2ccccc12)C(C)(C)C,Mitogen-activated protein kinase 14,1.0
CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1,Mitogen-activated protein kinase 14,6.0
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1,Mitogen-activated protein kinase 14,0.09
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCc2ccncc2)c2ccccc12)C(C)(C)C,Mitogen-activated protein kinase 14,0.5
CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1,Mitogen-activated protein kinase 14,20.0
CC1(CCCCC1)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1,Mitogen-activated protein kinase 14,1.9
Cc1ccc(cn1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,Mitogen-activated protein kinase 14,0.18
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(Cc2ccccc2)n1,Mitogen-activated protein kinase 14,64.0
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)C1CCCCC1,Mitogen-activated protein kinase 14,23.0
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1cccc(N)c1,Mitogen-activated protein kinase 14,0.23
CC(=O)Nc1cccc(c1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,Mitogen-activated protein kinase 14,9.9
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccc(N)cc1,Mitogen-activated protein kinase 14,0.16
CC(=O)Nc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,Mitogen-activated protein kinase 14,64.0
COc1ccc(cn1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,Mitogen-activated protein kinase 14,0.87
