Ligand SMILES,Target Name,Kd (nM)
Cc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1,Carbonic anhydrase 2,0.46
COc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1,Carbonic anhydrase 2,0.49
NS(=O)(=O)c1ccc(s1)S(=O)(=O)NCc1cccs1,Carbonic anhydrase 2,0.83
NS(=O)(=O)c1cc2C(O)CN(Cc3cccs3)S(=O)(=O)c2s1,Carbonic anhydrase 2,0.2
COc1ccc(cc1)N1CC(O)c2cc(sc2S1(=O)=O)S(N)(=O)=O,Carbonic anhydrase 2,0.16
CCN[C@H]1CN(CCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,0.32
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,0.13
COc1cccc(c1)N1CCc2cc(sc2S1(=O)=O)S(N)(=O)=O,Carbonic anhydrase 2,0.1
CN[C@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,0.1
CN[C@@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,Carbonic anhydrase 2,1.7
COc1cccc(c1)N1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O,Carbonic anhydrase 2,0.13
NS(=O)(=O)c1ccc(cc1)C(=O)NCCOCCOCCN(CC([O-])=O)CC([O-])=O,Carbonic anhydrase 2,27.0
NS(=O)(=O)c1ccc(cc1)C(=O)NCCN(CC([O-])=O)CC([O-])=O,Carbonic anhydrase 2,28.0
NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1,Carbonic anhydrase 2,45.0
Cc1c(Cl)cc(F)cc1S(N)(=O)=O,Carbonic anhydrase 2,96.8
NS(=O)(=O)c1ccc(cc1)N1CCN(Cc2ccncc2)CC1,Carbonic anhydrase 2,29.0
NS(=O)(=O)c1ccc(cc1)N1CCN(CC1)C(=O)c1ccncc1,Carbonic anhydrase 2,100.0
CC(C)CCOC(=O)Nc1cc(nc2ccccc12)-c1ccc2ccccc2c1,Peptidyl-prolyl cis-trans isomerase A,76.2
CC1N(C2CCN(CC2)C2CCCCC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,10.0
C[C@@H]1N(C2CCN(CC2)C2CCCCC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,10.0
CC1N(C2CCN(CC2)C2CCC(F)(F)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,30.0
CC1N(C2CCN(Cc3ccc4[nH]ccc4c3)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,30.0
CC1N(C2CCN(CC2)C2CCCC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,50.0
CC1N(C2CCN(Cc3ccco3)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,40.0
CC1N(C2CCN(CC2)C2CCC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,10.0
CC1N(C2CCN(Cc3ccc[nH]3)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,20.0
CC1N(C2CCN(Cc3cccs3)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,10.0
CC1N(C2CCN(CC3CCCCC3)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,30.0
CC1N(C2CCN(CC3CCC=CC3)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,40.0
CC1N(C2CCN(Cc3ncc[nH]3)CC2)C(=O)c2c1cccc2C(N)=O,Poly [ADP-ribose] polymerase 1,70.0
CC1N(C(=O)c2c1cccc2C(N)=O)c1ccc(cc1)N1CCOCC1,Poly [ADP-ribose] polymerase 1,40.0
CC1N(C(=O)c2c1cccc2C(N)=O)c1ccc(cc1)N1CCCCC1,Poly [ADP-ribose] polymerase 1,80.0
CC1N(C2CCN(CC2)C2CCCCC2)C(=O)c2c1cc(F)cc2C(N)=O,Poly [ADP-ribose] polymerase 1,60.0
CO[C@H]1CC[C@H](CC1)N1CCC(CC1)N1Cc2cccc(C(N)=O)c2C1=O,Poly [ADP-ribose] polymerase 1,60.0
